ApplNo,SubmissionNo,SponsorName,event_year,y,p_oof
208742,13,OCULAR THERAPEUTIX,2025,0,0.3679022778360216
209115,15,PHARMAAND,2025,0,0.3648292288629445
205437,12,AMGEN INC,2023,0,0.35317134027102426
205395,28,JANSSEN PRODS,2025,0,0.351553847098527
205109,9,VIFOR FRESENIUS,2024,0,0.3510806672220683
215309,7,INCYTE CORP,2025,0,0.35042178683780545
204168,10,ABBVIE,2023,0,0.3454451213787945
206316,21,DAIICHI SANKYO INC,2023,0,0.34511397715317577
125514,124,MERCK SHARP DOHME,2024,0,0.3339668847858403
206316,19,DAIICHI SANKYO INC,2023,0,0.3295652062591304
020287,80,PFIZER,2024,0,0.328175239462048
205625,9,GLAXOSMITHKLINE,2023,0,0.3215828831919463
021462,55,LILLY,2022,0,0.3192146317298206
125164,89,HOFFMAN-LA ROCHE,2024,0,0.31917003033517183
214919,2,FRESENIUS KABI USA,2025,0,0.31902214966410114
212819,8,MSD MERCK CO,2025,0,0.31170365488039015
205436,13,CUBIST PHARMS LLC,2025,0,0.30646604102439823
211962,17,HIKMA,2025,0,0.30578396121826085
021488,44,TOLMAR,2023,0,0.30336420873837655
205435,16,CUBIST PHARMS LLC,2025,0,0.29772595739164753
125514,147,MERCK SHARP DOHME,2024,0,0.2966695186557685
207131,9,BAXTER HLTHCARE CORP,2024,0,0.2890443048767653
022425,30,SANOFI AVENTIS US,2023,0,0.2882041589485275
022271,15,TAKEDA PHARMS USA,2023,0,0.2761885070051819
203414,16,TAKEDA PHARMS USA,2023,0,0.2753933126614593
021731,44,TOLMAR,2023,0,0.27074394547038244
212099,1,BAYER HEALTHCARE,2021,0,0.2425171550135035
211710,4,BAYER HEALTHCARE,2021,0,0.23060046537016726
050779,34,B BRAUN,2024,0,0.22056030940158913
761052,14,BIOMARIN PHARM,2024,0,0.21666294420153653
125514,127,MERCK SHARP DOHME,2022,0,0.21491695614675405
125514,123,MERCK SHARP DOHME,2022,0,0.21403889097270298
208799,21,TEVA PHARM,2021,0,0.2126196558356728
208082,9,TEVA BRANDED PHARM,2021,0,0.21240747075342878
021225,43,BAYER HLTHCARE,2022,0,0.2081128855473161
