appno_norm,appl_type,appno_digits,appno,letter_date,letter_year,company_name,file_name,n_appnos_in_letter,has_prior_cr_letter,n_cr_letters_for_appno,cycle_method,cycle_type,label,text_len,SponsorName,ReviewPriority,event_dt,event_year,neg_tier,p_m14_cal_precomputed,SubmissionClassCode,second_cycle_ap,ref_date,ref_method,p_crl,p_source,risk_band,raw_p_uncalibrated,confidence_flag,_coverage,_feature_sources,p_rescore_offline,crosscheck_abs_diff
209531,NDA,209531,NDA209531,09/22/2025,2025,"Biogen, Inc.",CRL_NDA209531_20250922.pdf,1,False,1,drugsfda_orig,first_cycle_orig,1,8768,,,,,,,,,2016-02-23,drugsfda_orig_minus_clock,0.10624827,offline_builder_scored,moderate,0.13394209,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.4,"{""is_bla"": ""appno_prefix"", ""priority"": ""drugsfda_orig"", ""SubmissionClassCode"": ""drugsfda_orig"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
219029,NDA,219029,NDA219029,05/29/2025,2025,"Chemo Research, S.L.",CRL_NDA219029_20250529.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,2432,,,,,,,,,2024-07-29,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
205508,NDA,205508,NDA205508,07/28/2025,2025,Heritage Pharmaceuticals Inc. d/b/a/ Avet Pharmaceuticals Inc.,CRL_NDA205508_20250728.pdf,1,False,1,drugsfda_orig,first_cycle_orig,1,8487,,,,,,,,,2013-05-17,drugsfda_orig_minus_clock,0.10624827,offline_builder_scored,moderate,0.13394209,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.4,"{""is_bla"": ""appno_prefix"", ""priority"": ""drugsfda_orig"", ""SubmissionClassCode"": ""drugsfda_orig"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
220140,NDA,220140,NDA220140,03/05/2026,2026,"Rosemont Pharmaceuticals Holdings, Inc.",CRL_NDA220140_20260305.pdf,1,False,1,text_first_cycle,first_cycle_orig,1,6077,,,,,,,,,2025-05-05,letter_date_minus_clock_estimated,0.16594668,offline_builder_scored,elevated,0.21197219,low_confidence_sponsor;moderate_confidence_no_edgar_signal,0.2,"{""is_bla"": ""appno_prefix"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",,
216395,NDA,216395,NDA216395,,,,,,,,,,0,,SOLUBIOMIX,STANDARD,2026-01-26,2026,A_prospective_2026,0.21825048294297658,,,2025-03-28,event_dt_minus_clock,0.21825048294297658,tier_a_precomputed_p_m14_cal,elevated,,,0.5,"{""is_bla"": ""appno_prefix"", ""priority"": ""drugsfda_orig"", ""SubmissionClassCode"": ""drugsfda_orig"", ""n_prior_filings"": ""drugsfda_sponsor"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",0.18087959,0.037370892942976575
216564,NDA,216564,NDA216564,,,,,,,,,,0,,DEPROCO,STANDARD,2026-03-19,2026,A_prospective_2026,0.243981472854955,,,2025-05-19,event_dt_minus_clock,0.243981472854955,tier_a_precomputed_p_m14_cal,elevated,,,0.5,"{""is_bla"": ""appno_prefix"", ""priority"": ""drugsfda_orig"", ""SubmissionClassCode"": ""drugsfda_orig"", ""n_prior_filings"": ""drugsfda_sponsor"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",0.16052235,0.08345912285495499
216964,NDA,216964,NDA216964,,,,,,,,,,0,,MSD,STANDARD,2026-04-20,2026,A_prospective_2026,0.10052185417424579,,,2025-06-20,event_dt_minus_clock,0.10052185417424579,tier_a_precomputed_p_m14_cal,moderate,,,0.5,"{""is_bla"": ""appno_prefix"", ""priority"": ""drugsfda_orig"", ""SubmissionClassCode"": ""drugsfda_orig"", ""n_prior_filings"": ""drugsfda_sponsor"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",0.12796953,0.027447675825754206
217180,NDA,217180,NDA217180,,,,,,,,,,0,,INCYTE CORP,STANDARD,2026-05-01,2026,A_prospective_2026,0.01192845305723084,,,2025-07-01,event_dt_minus_clock,0.01192845305723084,tier_a_precomputed_p_m14_cal,low,,,0.5,"{""is_bla"": ""appno_prefix"", ""priority"": ""drugsfda_orig"", ""SubmissionClassCode"": ""drugsfda_orig"", ""n_prior_filings"": ""drugsfda_sponsor"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",0.16408285,0.15215439694276917
219131,NDA,219131,NDA219131,,,,,,,,,,0,,ALMATICA,STANDARD,2026-02-27,2026,A_prospective_2026,0.18822830669835333,,,2025-04-29,event_dt_minus_clock,0.18822830669835333,tier_a_precomputed_p_m14_cal,elevated,,,0.5,"{""is_bla"": ""appno_prefix"", ""priority"": ""drugsfda_orig"", ""SubmissionClassCode"": ""drugsfda_orig"", ""n_prior_filings"": ""drugsfda_sponsor"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",0.15252381,0.03570449669835332
219164,NDA,219164,NDA219164,,,,,,,,,,0,,ASCENDIS,PRIORITY,2026-02-27,2026,A_prospective_2026,0.09699552368615971,,,2025-04-29,event_dt_minus_clock,0.09699552368615971,tier_a_precomputed_p_m14_cal,moderate,,,0.5,"{""is_bla"": ""appno_prefix"", ""priority"": ""drugsfda_orig"", ""SubmissionClassCode"": ""drugsfda_orig"", ""n_prior_filings"": ""drugsfda_sponsor"", ""n_drug_inspections_5y_fix"": ""absent"", ""sponsor_has_warning"": ""live_warning_letters"", ""has_bt"": ""absent"", ""has_ft"": ""absent"", ""has_aa"": ""absent"", ""n_8ks_30_180_clean"": ""absent"", ""ctgov_failed_primary"": ""absent_no_source"", ""ctgov_any_randomized"": ""absent_no_source"", ""sponsor_has_orphan_history"": ""absent_no_source""}",0.10624827,0.009252746313840293
