appno_norm,appl_type,appno_digits,appno,letter_date,letter_year,company_name,file_name,n_appnos_in_letter,has_prior_cr_letter,n_cr_letters_for_appno,cycle_method,cycle_type,label,text_len,SponsorName,ReviewPriority,event_dt,event_year,neg_tier,p_m14_cal_precomputed,SubmissionClassCode,second_cycle_ap
220201,NDA,220201,NDA220201,,,,,,,,,,0,,AVYXA HOLDINGS,STANDARD,2026-02-20,2026,A_prospective_2026,0.1751848275980737,,
220295,NDA,220295,NDA220295,,,,,,,,,,0,,GLAXOSMITHKLINE,STANDARD,2026-03-17,2026,A_prospective_2026,0.07949014211885509,,
220320,NDA,220320,NDA220320,,,,,,,,,,0,,MAP77,STANDARD,2026-03-20,2026,A_prospective_2026,0.243981472854955,,
220358,NDA,220358,NDA220358,,,,,,,,,,0,,VANDA PHARMS INC,STANDARD,2026-02-20,2026,A_prospective_2026,0.0033643329579987665,,
220406,NDA,220406,NDA220406,,,,,,,,,,0,,AVYXA HOLDINGS,STANDARD,2026-02-03,2026,A_prospective_2026,0.18073022400358718,,
220626,NDA,220626,NDA220626,,,,,,,,,,0,,BAXTER HLTHCARE CORP,STANDARD,2026-03-30,2026,A_prospective_2026,0.0007533849358893511,,
220641,NDA,220641,NDA220641,,,,,,,,,,0,,CORCEPT THERAP,STANDARD,2026-03-25,2026,A_prospective_2026,0.006720710831603202,,
220711,NDA,220711,NDA220711,,,,,,,,,,0,,BEONE MEDICINES USA,PRIORITY,2026-05-13,2026,A_prospective_2026,0.00471115195546515,,
220712,NDA,220712,NDA220712,,,,,,,,,,0,,AMNEAL PHARMS NY,STANDARD,2026-03-19,2026,A_prospective_2026,0.028927162669479877,,
220837,NDA,220837,NDA220837,,,,,,,,,,0,,APOTEX,STANDARD,2026-05-01,2026,A_prospective_2026,0.1508085514629471,,
220934,NDA,220934,NDA220934,,,,,,,,,,0,,ELI LILLY AND CO,STANDARD,2026-04-01,2026,A_prospective_2026,0.043540916663816126,,
221287,NDA,221287,NDA221287,,,,,,,,,,0,,GENERAL AIR SERVICE & SUPPLY COMPANY,UNKNOWN,2026-02-02,2026,A_prospective_2026,0.014930729548584685,,
221337,NDA,221337,NDA221337,,,,,,,,,,0,,INDUSTRIAL WELDING SUPPLY CO OF HARVEY INC,UNKNOWN,2026-02-17,2026,A_prospective_2026,0.021785283258649122,,
761412,BLA,761412,BLA761412,,,,,,,,,,0,,SUNSHINE LAKE PHARMA CO LTD,STANDARD,2026-04-29,2026,A_prospective_2026,0.04229283491145057,,
761484,BLA,761484,BLA761484,,,,,,,,,,0,,JANSSEN BIOTECH,STANDARD,2026-02-13,2026,A_prospective_2026,0.243128990653388,,
761485,BLA,761485,BLA761485,,,,,,,,,,0,,DENALI THERAPEUTICS INC.,PRIORITY,2026-03-24,2026,A_prospective_2026,0.010361640423732743,,
219943,NDA,219943,NDA219943,,,,,,,,,,0,,ASTRAZENECA,PRIORITY,2025-09-10,2025,B_drugsfda_2025_approval,,TYPE 3,False
220461,NDA,220461,NDA220461,,,,,,,,,,0,,MITCHELL WEDLING SUPPLY,UNKNOWN,2025-04-21,2025,B_drugsfda_2025_approval,,UNKNOWN,False
219921,NDA,219921,NDA219921,,,,,,,,,,0,,AVYXA HOLDINGS,STANDARD,2025-08-08,2025,B_drugsfda_2025_approval,,TYPE 5,False
219488,NDA,219488,NDA219488,,,,,,,,,,0,,MIRUM,PRIORITY,2025-02-21,2025,B_drugsfda_2025_approval,,TYPE 5,False
216830,NDA,216830,NDA216830,,,,,,,,,,0,,DR REDDYS LABS SA,STANDARD,2025-05-30,2025,B_drugsfda_2025_approval,,TYPE 5,False
217307,NDA,217307,NDA217307,,,,,,,,,,0,,THEA PHARMA,STANDARD,2025-09-09,2025,B_drugsfda_2025_approval,,TYPE 3,False
219868,NDA,219868,NDA219868,,,,,,,,,,0,,AZURITY,STANDARD,2025-10-16,2025,B_drugsfda_2025_approval,,TYPE 10,False
219423,NDA,219423,NDA219423,,,,,,,,,,0,,AZURITY,STANDARD,2025-06-05,2025,B_drugsfda_2025_approval,,TYPE 4,False
219847,NDA,219847,NDA219847,,,,,,,,,,0,,AZURITY,STANDARD,2025-06-16,2025,B_drugsfda_2025_approval,,TYPE 3,False
217338,NDA,217338,NDA217338,,,,,,,,,,0,,RB HLTH,STANDARD,2025-12-22,2025,B_drugsfda_2025_approval,,TYPE 4,False
761212,BLA,761212,BLA761212,,,,,,,,,,0,,LUPIN LTD,STANDARD,2025-11-28,2025,B_drugsfda_2025_approval,,UNKNOWN,False
219972,NDA,219972,NDA219972,,,,,,,,,,0,,BAYER HEALTHCARE,PRIORITY,2025-11-19,2025,B_drugsfda_2025_approval,,TYPE 1,False
219592,NDA,219592,NDA219592,,,,,,,,,,0,,TELIX INNOVATIONS,STANDARD,2025-03-20,2025,B_drugsfda_2025_approval,,TYPE 5,False
218922,NDA,218922,NDA218922,,,,,,,,,,0,,CIPLA,STANDARD,2025-02-19,2025,B_drugsfda_2025_approval,,TYPE 3,False
219155,NDA,219155,NDA219155,,,,,,,,,,0,,LEO PHARMA AS,STANDARD,2025-07-23,2025,B_drugsfda_2025_approval,,TYPE 1,False
761152,BLA,761152,BLA761152,,,,,,,,,,0,,OMEROS CORP,PRIORITY,2025-12-23,2025,B_drugsfda_2025_approval,,TYPE 1,False
210745,NDA,210745,NDA210745,,,,,,,,,,0,,AMGEN INC,STANDARD,2025-08-29,2025,B_drugsfda_2025_approval,,TYPE 5,False
761326,BLA,761326,BLA761326,,,,,,,,,,0,,NOVO NORDISK INC,STANDARD,2026-03-26,2026,B_drugsfda_2025_approval,,TYPE 1,False
217379,NDA,217379,NDA217379,,,,,,,,,,0,,"FLEX PHARMA, LLC",STANDARD,2026-05-29,2026,B_drugsfda_2025_approval,,TYPE 5,False
220736,NDA,220736,NDA220736,,,,,,,,,,0,,"GALDERMA LABORATORIES, L.P",STANDARD,2026-05-22,2026,B_drugsfda_2025_approval,,TYPE 8,False
220482,NDA,220482,NDA220482,,,,,,,,,,0,,HAISCO PHARMACEUTICAL GROUP CO LTD,STANDARD,2026-05-29,2026,B_drugsfda_2025_approval,,TYPE 1,False
